Nombre,Cargo,Dependencia,Correo institucional,Teléfono,Perfil institucional,Hoja de vida / SIGEP,Estado,Fecha de verificación,Estado de fuente
Alex Armando García Lozano,Técnico Administrativo,Secretaría de Planeación,planeacion@sanpedro-valle.gov.co,(032) 223 83 56 Ext. 19,https://sanpedro-valle.gov.co/directorio-de-funcionarios/alex-armando-garcia-lozano,https://sanpedro-valle.gov.co/directorio-de-funcionarios/alex-armando-garcia-lozano,Activo,2026-07-31,Verificado en el directorio institucional
Carlos Humberto Giraldo Acevedo,Comisario de Familia,Comisaría de Familia,comisariadefamilia@sanpedro-valle.gov.co,(032) 223 8356 Ext. 14,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/carlos-humberto-giraldo-acevedo,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/carlos-humberto-giraldo-acevedo,Activo,2026-07-31,Verificado en el directorio institucional
Crisanto Lopeda Zuñiga,Auxiliar Administrativo,Secretaría General y Desarrollo Institucional,secretariageneral@sanpedro-valle.gov.co,(032) 223 83 56,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/crisanto-lopeda-zuniga,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/crisanto-lopeda-zuniga,Activo,2026-07-31,Verificado en el directorio institucional
Diego Fernando Mendoza,Alcalde Municipal,Despacho del Alcalde,alcaldia@sanpedro-valle.gov.co,(032) 223 8356,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/jhon-jaime-ospina-loaiza,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/jhon-jaime-ospina-loaiza,Activo,2026-07-31,Verificado en el directorio institucional
Einar Ernesto González Bedoya,Secretario General y Desarrollo Institucional,Secretaría General y Desarrollo Institucional,secretariageneral@sanpedro-valle.gov.co,(032) 223 8356 Ext. 24,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/einar-ernesto-gonzalez-bedoya,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/einar-ernesto-gonzalez-bedoya,Activo,2026-07-31,Verificado en el directorio institucional
Jimmy Alexander Alzate C.,Técnico Administrativo,Dependencia por verificar en la fuente institucional,,,https://sanpedro-valle.gov.co/directorio-de-funcionarios/cristian-caicedo,https://sanpedro-valle.gov.co/directorio-de-funcionarios/cristian-caicedo,Activo,2026-07-31,Perfil localizado; dependencia y datos de contacto pendientes de actualización en la fuente
Laura Cristina González Calero,"Secretaria de Gobierno, Convivencia y Seguridad Ciudadana","Secretaría de Gobierno, Convivencia y Seguridad Ciudadana",secretariadegobiernosanpedro@hotmail.com,(032) 223 8356,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/laura-cristina-gonzalez-calero,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/laura-cristina-gonzalez-calero,Activo,2026-07-31,Verificado en el directorio institucional
Martha Lucía Pérez Guerra,"Coordinadora de Educación, Cultura y Deporte","Educación, Cultura y Deporte",educacion@sanpedro-valle.gov.co,(032) 223 8356 Ext. 26,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/leidy-yuliana-holguin-nunez,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/leidy-yuliana-holguin-nunez,Activo,2026-07-31,Verificado en el directorio institucional
Melida Vásquez Vásquez,Jefe de Control Interno,Oficina de Control Interno,controlinterno@sanpedro-valle.gov.co,(032) 223 83 56 Ext. 31,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/melida-vasquez-vasquez,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/melida-vasquez-vasquez,Activo,2026-07-31,Verificado en el directorio institucional
Yeini Coromoto Fuentes Castaño,Secretaria de Salud,Secretaría de Salud,salud@sanpedro-valle.gov.co,(032) 223 8356 Ext. 25,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/alba-nohemy-dorado-pantoja,https://www.sanpedro-valle.gov.co/directorio-de-funcionarios/alba-nohemy-dorado-pantoja,Activo,2026-07-31,Verificado en el directorio institucional
