"ID","Fuente","Finalidad","URL","Fecha de verificación"
"src-1","Sede electrónica municipal","Fuente institucional principal","https://www.sanpedro-valle.gov.co/","2026-07-31"
"src-2","Glosario institucional","Referencia de lenguaje y conceptos","https://www.sanpedro-valle.gov.co/tema/glosario","2026-07-31"
"src-3","Organismos de control","Directorio de vigilancia y control","https://www.sanpedro-valle.gov.co/tema/organismos-de-control","2026-07-31"
"src-4","Ofertas de empleo","Convocatorias y procesos de talento humano","https://www.sanpedro-valle.gov.co/tema/ofertas-de-empleo","2026-07-31"
"src-5","Gaceta - notificación de mandamientos","Evidencia de publicación oficial tributaria","https://www.sanpedro-valle.gov.co/noticias/otificacion-en-prensa-gaceta-oficial-portal-web-mandamientos","2026-07-31"
"src-6","Estatuto Tributario","Normativa tributaria municipal","https://www.sanpedro-valle.gov.co/tema/normatividad/estatuto-tributario-657479","2026-07-31"
"src-7","Normatividad municipal","Repositorio general de actos y normas","https://www.sanpedro-valle.gov.co/tema/normatividad","2026-07-31"
"src-8","Proyectos de normas","Proyectos sometidos a consulta","https://www.sanpedro-valle.gov.co/tema/proyectos-de-normas-para-comentarios","2026-07-31"
"src-9","Comentarios y respuestas","Trazabilidad de observaciones","https://www.sanpedro-valle.gov.co/tema/comentarios-y-documento-de-respuesta-a-comentarios","2026-07-31"
"src-10","Documentos de Control Interno","Informes y seguimientos de control","https://www.sanpedro-valle.gov.co/tema/documentos-de-control-interno","2026-07-31"
"src-11","PQRSD","Canal ciudadano institucional","https://www.sanpedro-valle.gov.co/peticiones-quejas-reclamos","2026-07-31"
"src-12","SUCOP","Sistema administrado por el DNP","https://www.sucop.gov.co/","2026-07-31"
"src-13","Resolución MinTIC 1519 de 2020 - Anexo 2","Estándares de publicación y divulgación","https://gobiernodigital.mintic.gov.co/692/articles-178658_Estandares_informacion.pdf","2026-07-31"
"src-14","Perfil oficial de Facebook","Socialización institucional complementaria","https://www.facebook.com/MunicipioSanPedroValle/?locale=es_LA","2026-07-31"
